Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
BFC,2017-10-15,129.0,139.0,129.0,139.0,9.45 %,2700.0,372240.0,,,,,139.0,139.0,14.301172227231717,0.0,0.0,,,,,,0.0
BFC,2017-10-16,141.0,152.0,141.0,152.0,9.35 %,5075.0,766200.0,0.09352517985611519,0.08940658771558471,,,141.0,139.96296296296296,23.499777744851045,1.037037037037038,0.20740740740740762,,,,,,5075.0
BFC,2017-10-17,155.0,167.0,155.0,167.0,9.87 %,5990.0,998170.0,0.09868421052631571,0.09411329157047864,,,145.0,141.96570644718793,25.79281183932342,3.0342935528120734,0.7727846364883408,,,,,,11065.0
BFC,2017-10-18,164.0,170.0,151.0,152.0,-8.98 %,4140.0,652990.0,-0.08982035928143717,-0.09411329157047876,,,146.0769230769231,142.70898745109994,20.56396148555706,3.3679356258231508,1.2918148343553029,,,,,,6925.0
BFC,2017-10-23,152.0,149.0,147.0,149.0,-1.97 %,1025.0,152705.0,-0.019736842105263164,-0.019934214900817253,151.8,,146.52662721893492,143.1749883806481,17.789541225537363,3.351638838286817,1.703779635141606,,,,,,5900.0
BFC,2017-10-24,149.0,151.0,148.0,148.0,-0.67 %,1476.0,220765.0,-0.006711409395973145,-0.006734032181344068,153.6,,146.7532999544834,143.53239664874823,19.09106558788085,3.2209033057351633,2.007204369260317,,,,,,4424.0
BFC,2017-10-25,149.0,149.0,145.0,145.0,-2.03 %,1610.0,236060.0,-0.020270270270270285,-0.020478531343540676,152.2,,146.48356149994748,143.64110800810022,29.231022017745673,2.842453491847266,2.174254193777707,,,,,,2814.0
BFC,2017-10-29,143.0,143.0,139.0,141.0,-4.14 %,1780.0,249420.0,-0.02758620689655178,-0.02797385204240618,147.0,,145.63993665380173,143.44547037787058,24.047039740470396,2.1944662759311484,2.1782966102083954,,,,,,1034.0
BFC,2017-10-30,137.0,139.0,135.0,139.0,0.00 %,1670.0,228090.0,-0.014184397163120588,-0.014285957247476541,144.4,,144.61840793783222,143.1161762758061,25.982181977508404,1.5022316620261051,2.0430836205719376,,,,,,-636.0
BFC,2017-10-31,141.0,141.0,141.0,141.0,1.44 %,31150.0,4392150.0,0.014388489208633004,0.014285957247476434,142.8,,144.06172979355034,142.95942247759825,34.36414751116256,1.102307315952089,1.854928359647968,,,,,,30514.0
BFC,2017-11-01,139.0,139.0,137.0,137.0,-2.84 %,510.0,70010.0,-0.028368794326241176,-0.028778964550043404,140.6,,142.97530982531183,142.51798377555394,29.76464342594234,0.4573260497578815,1.5754078976699508,,,,,,30004.0
BFC,2017-11-05,135.0,135.0,131.0,131.0,-4.38 %,530.0,69970.0,-0.04379562043795615,-0.04478360262697331,137.8,,141.13295446757155,141.66479979217956,23.434757167934507,-0.5318453246080139,1.153957253214358,,,,,,29474.0
BFC,2017-11-06,131.0,131.0,130.0,130.0,-0.76 %,200.0,26100.0,-0.007633587786259555,-0.007662872745569137,135.6,,139.4201922417913,140.8007405483144,20.047135071439158,-1.3805483065230817,0.6470561412668702,,,,,,29274.0
BFC,2017-11-07,130.0,132.0,130.0,132.0,1.54 %,200.0,26200.0,0.01538461538461533,0.01526747213078838,134.2,,138.27862420459266,140.14883384103183,19.828088578088625,-1.8702096364391707,0.143602985725662,6.857142857142857,,,,,29474.0
BFC,2017-11-08,131.0,131.0,128.0,128.0,-3.03 %,210.0,27380.0,-0.030303030303030276,-0.03077165866675366,131.6,,136.6972974038861,139.2489202231776,21.43061107938331,-2.5516228192915094,-0.39544217527777237,6.428571428571429,,,,,29264.0
BFC,2017-11-12,128.0,136.0,130.0,136.0,6.25 %,350.0,46600.0,0.0625,0.06062462181643484,131.4,,136.5900208802113,139.00825946590518,16.66296625222033,-2.418238585693871,-0.8000014573609922,6.071428571428571,,,,,29614.0
BFC,2017-11-13,138.0,138.0,136.0,136.0,0.00 %,800.0,109200.0,0.0,0.0,132.4,,136.49924843710187,138.7854254313937,17.02586206896561,-2.2861769942918215,-1.097236564747158,5.142857142857143,,,,,29614.0
BFC,2017-11-15,138.0,138.0,136.0,136.0,0.00 %,1900.0,261400.0,0.0,0.0,133.6,,136.42244098524006,138.57909762166082,30.265180630284462,-2.156656636420763,-1.3091205790818792,3.9285714285714284,,,,,29614.0
BFC,2017-11-19,136.0,136.0,135.0,135.0,-0.74 %,700.0,95000.0,-0.007352941176470562,-0.007380107297622534,134.2,,136.20360391058773,138.3139792793156,26.346604215456708,-2.1103753687278584,-1.469371537011075,3.642857142857143,,,,,28914.0
BFC,2017-11-20,133.0,133.0,131.0,131.0,-2.96 %,300.0,39500.0,-0.029629629629629672,-0.03007745523727795,134.8,140.25,135.403049462805,137.7722030364033,31.750881316098784,-2.369153573598311,-1.649327944328522,3.7142857142857144,140.25,9.574500124370944,159.39900024874188,121.10099975125812,28614.0
BFC,2017-11-21,133.0,135.0,132.0,133.0,1.53 %,1601.0,211978.0,0.01526717557251911,0.015151805020602246,134.2,139.95,135.0333495454504,137.41870651518826,42.82714266964169,-2.3853569697378703,-1.796533749410392,3.7142857142857144,139.95,9.708786037182493,159.36757207436497,120.532427925635,30215.0
BFC,2017-11-22,131.0,133.0,131.0,133.0,0.00 %,650.0,85350.0,0.0,0.0,133.6,139.0,134.72052653845802,137.09139492147062,49.84419361540062,-2.3708683830126063,-1.9114006761308349,3.4285714285714284,139.0,9.392045906818698,157.7840918136374,120.21590818636261,30215.0
BFC,2017-11-23,133.0,134.0,131.0,132.0,-0.75 %,31816.0,4230556.0,-0.007518796992481258,-0.007547205635382966,132.8,137.25,134.30198399407988,136.71425455691724,53.29476506279103,-2.4122705628373637,-2.011574653472141,3.2142857142857144,137.25,6.804603704768402,150.8592074095368,123.64079259046319,-1601.0
BFC,2017-11-27,134.0,134.0,130.0,132.0,0.00 %,1345.0,175536.0,0.0,0.0,132.2,136.25,133.9478326103753,136.3650505156641,47.871989442428266,-2.4172179052888225,-2.0927033038354774,3.357142857142857,136.25,5.937171043519006,148.124342087038,124.37565791296198,-1601.0
BFC,2017-11-28,132.0,134.0,130.0,133.0,1.52 %,15741.0,2047240.0,0.007575757575757569,0.007547205635382904,132.6,135.45,133.80201220877908,136.1157875145038,52.0747391409852,-2.3137753057247323,-2.1369177042133285,3.357142857142857,135.45,5.155222186237397,145.76044437247478,125.1395556275252,14140.0
BFC,2017-11-29,134.0,136.0,134.0,136.0,1.49 %,240.0,32240.0,0.022556390977443552,0.022305757514298186,133.2,134.85,134.14016417665923,136.1072106615776,56.92956832197338,-1.9670464849183702,-2.102943460354337,3.142857142857143,134.85,4.2336372318051705,143.31727446361035,126.38272553638966,14380.0
BFC,2017-11-30,138.0,138.0,136.0,136.0,0.00 %,170.0,23320.0,0.0,0.0,133.8,134.4,134.4262927648655,136.09926913109035,59.62767957878903,-1.6729763662248445,-2.016950041528439,3.2142857142857144,134.4,3.515379742907266,141.43075948581455,127.36924051418548,14380.0
BFC,2017-12-04,134.0,134.0,132.0,134.0,-1.47 %,400.0,53400.0,-0.014705882352941124,-0.014815085785140587,134.2,134.05,134.36070926257852,135.94376771397256,60.696739615899965,-1.583058451394038,-1.930171723501559,3.357142857142857,134.05,3.1535276821531055,140.35705536430623,127.7429446356938,13980.0
BFC,2017-12-05,133.0,133.0,133.0,133.0,-0.75 %,100.0,13300.0,-0.007462686567164201,-0.007490671729157626,134.4,133.75,134.151369376028,135.72571084627089,62.30571533472037,-1.5743414702428993,-1.8590056728498272,3.142857142857143,133.75,2.935714743062119,139.62142948612424,127.87857051387576,13880.0
BFC,2017-12-06,135.0,135.0,135.0,135.0,1.50 %,50.0,6750.0,0.015037593984962516,0.014925650216675792,134.8,133.45,134.28192793356214,135.67195448728785,72.85909712722298,-1.3900265537257042,-1.7652098490250026,2.7142857142857144,133.45,2.416500296753813,138.2830005935076,128.61699940649237,13930.0
BFC,2017-12-10,135.0,135.0,133.0,135.0,-1.48 %,750.0,99950.0,0.0,0.0,134.6,133.35,134.39240055916795,135.6221800808221,74.36766800027122,-1.2297795216541374,-1.6581237835508296,2.7142857142857144,133.35,2.300457620378748,137.9509152407575,128.7490847592425,13930.0
BFC,2017-12-13,131.0,133.0,131.0,132.0,-0.75 %,16550.0,2184600.0,-0.022222222222222254,-0.02247285585205863,133.8,133.4,134.02433893468057,135.35387044520564,71.25038028597504,-1.3295315105250722,-1.5924053289456783,2.857142857142857,133.4,2.2571523745875055,137.91430474917502,128.885695250825,-2620.0
BFC,2017-12-14,134.0,136.0,134.0,136.0,3.03 %,570.0,76470.0,0.030303030303030276,0.02985296314968113,134.2,133.7,134.32828679088357,135.40173189370893,71.18000151964141,-1.0734451028253602,-1.4886132837216148,3.0714285714285716,133.7,2.178845662513377,138.05769132502675,129.34230867497322,-2050.0
BFC,2017-12-17,139.0,140.0,139.0,140.0,0.72 %,500.0,69700.0,0.02941176470588225,0.028987536873252187,135.6,134.1,135.20085805382456,135.74234434602678,70.80286352089911,-0.5414862922022223,-1.2991878854177363,3.0714285714285716,134.1,2.5526044491234625,139.20520889824692,128.99479110175307,-1550.0
BFC,2017-12-18,142.0,144.0,142.0,142.0,1.43 %,900.0,128900.0,0.014285714285714235,0.014184634991956381,137.0,134.8,136.24687989169772,136.20587439446925,68.8178230845117,0.04100549722846836,-1.0311492088884955,3.0714285714285716,134.8,2.706716791515933,140.21343358303187,129.38656641696815,-650.0
BFC,2017-12-21,142.0,142.0,138.0,138.0,-2.82 %,196.0,27540.0,-0.028169014084507005,-0.028573372444056,137.6,134.9,136.5165906775904,136.33877258747154,69.69721179196296,0.17781809011884775,-0.7893557490870269,3.2142857142857144,134.9,2.789076436460942,140.4781528729219,129.32184712707812,-846.0
BFC,2017-12-24,138.0,138.0,134.0,134.0,-2.90 %,16310.0,2249560.0,-0.02898550724637683,-0.02941388520629334,138.0,134.8,136.129422881038,136.16553017358476,69.45316904244186,-0.036107292546745384,-0.6387060577789706,3.2857142857142856,134.8,2.783409495753949,140.3668189915079,129.23318100849212,-17156.0
BFC,2017-12-26,132.0,132.0,130.0,130.0,-2.99 %,1555.0,202230.0,-0.02985074626865669,-0.030305349495328922,136.8,134.5,135.1864347454937,135.7088242348007,76.86959622069705,-0.5223894893069883,-0.6154427440845742,3.2857142857142856,134.5,2.9647046537911934,140.42940930758238,128.57059069241762,-18711.0
BFC,2017-12-31,128.0,128.0,128.0,128.0,-1.54 %,50.0,6400.0,-0.01538461538461533,-0.015504186535965199,134.4,134.15,134.0808294000331,135.13780021740803,73.44453540728615,-1.0569708173749177,-0.703748358742643,3.142857142857143,134.15,3.2971279367928097,140.74425587358562,127.55574412641438,-18761.0
BFC,2018-01-02,128.0,128.0,128.0,128.0,0.00 %,100.0,12800.0,0.0,0.0,131.6,134.0,133.1453171846434,134.6090742753778,71.9460738911187,-1.46375709073439,-0.8557501051409924,2.9285714285714284,134.0,3.5093859111937062,141.0187718223874,126.98122817761259,-18761.0
BFC,2018-01-03,126.0,127.0,126.0,127.0,-0.78 %,550.0,69800.0,-0.0078125,-0.007843177461025893,129.4,133.7,132.19988377162133,134.04543914386832,69.82844493635862,-1.8455553722469915,-1.0537111585621923,2.9285714285714284,133.7,3.840230256254606,141.3804605125092,126.01953948749077,-19311.0
BFC,2018-01-04,129.0,131.0,129.0,131.0,3.15 %,680.0,87940.0,0.03149606299212593,0.031010236742560218,128.8,133.6,132.01528626829497,133.81985105913733,72.88585951940856,-1.8045647908423632,-1.2038818850182267,2.9285714285714284,133.6,3.885194569401377,141.37038913880275,125.82961086119724,-18631.0
