Date,Symbol,Open,High,Low,Close,Volume
2024_05_05,FMDBLP,300.0,300.0,300.0,300.0,150000.0
2024_07_08,FMDBLP,370.0,370.0,370.0,370.0,9000.0
2025_02_16,FMDBLP,370.0,370.0,370.0,370.0,71915.0
2025_03_16,FMDBLP,370.0,370.0,370.0,370.0,140000.0
2025_08_12,FMDBLP,280.5,280.5,280.5,280.5,30000.0
